Type,Symbol,Expiry,Strike,OptionType
Option,10000565,20160224,1.8,C
Option,10000566,20160224,1.8,P
Option,10000547,20160224,1.85,C
Option,10000549,20160224,1.85,P
Option,10000548,20160224,1.9,C
Option,10000550,20160224,1.9,P
Option,10000539,20160224,1.95,C
Option,10000540,20160224,1.95,P
Option,10000533,20160224,2,C
Option,10000534,20160224,2,P
Option,10000527,20160224,2.05,C
Option,10000528,20160224,2.05,P
Option,10000519,20160224,2.1,C
Option,10000521,20160224,2.1,P
Option,10000520,20160224,2.15,C
Option,10000522,20160224,2.15,P
Option,10000511,20160224,2.2,C
Option,10000513,20160224,2.2,P
Option,10000512,20160224,2.25,C
Option,10000514,20160224,2.25,P
Option,10000507,20160224,2.3,C
Option,10000509,20160224,2.3,P
Option,10000508,20160224,2.35,C
Option,10000510,20160224,2.35,P
Option,10000497,20160224,2.4,C
Option,10000502,20160224,2.4,P
Option,10000498,20160224,2.45,C
Option,10000503,20160224,2.45,P
Option,10000499,20160224,2.5,C
Option,10000504,20160224,2.5,P
Option,10000500,20160224,2.55,C
Option,10000505,20160224,2.55,P
Option,10000501,20160224,2.6,C
Option,10000506,20160224,2.6,P
Equity,510050,,,